2023-07-07 09:18:54 | INFO | controller | args: Namespace(host='localhost', port=21001, dispatch_method='shortest_queue')
2023-07-07 09:18:54 | ERROR | stderr | INFO:     Started server process [3000]
2023-07-07 09:18:54 | ERROR | stderr | INFO:     Waiting for application startup.
2023-07-07 09:18:54 | ERROR | stderr | INFO:     Application startup complete.
2023-07-07 09:18:54 | ERROR | stderr | INFO:     Uvicorn running on http://localhost:21001 (Press CTRL+C to quit)
2023-07-07 09:20:57 | ERROR | stderr | INFO:     Shutting down
2023-07-07 09:20:57 | ERROR | stderr | INFO:     Waiting for application shutdown.
2023-07-07 09:20:57 | ERROR | stderr | INFO:     Application shutdown complete.
2023-07-07 09:20:57 | ERROR | stderr | INFO:     Finished server process [3000]
2023-07-07 09:21:31 | INFO | controller | args: Namespace(host='localhost', port=21001, dispatch_method='shortest_queue')
2023-07-07 09:21:31 | ERROR | stderr | INFO:     Started server process [3168]
2023-07-07 09:21:31 | ERROR | stderr | INFO:     Waiting for application startup.
2023-07-07 09:21:31 | ERROR | stderr | INFO:     Application startup complete.
2023-07-07 09:21:31 | ERROR | stderr | INFO:     Uvicorn running on http://localhost:21001 (Press CTRL+C to quit)
2023-07-07 09:24:17 | ERROR | stderr | INFO:     Shutting down
2023-07-07 09:24:18 | ERROR | stderr | INFO:     Waiting for application shutdown.
2023-07-07 09:24:18 | ERROR | stderr | INFO:     Application shutdown complete.
2023-07-07 09:24:18 | ERROR | stderr | INFO:     Finished server process [3168]
2023-07-07 09:24:25 | INFO | controller | args: Namespace(host='localhost', port=21001, dispatch_method='shortest_queue')
2023-07-07 09:24:25 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m3288[0m]
2023-07-07 09:24:25 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2023-07-07 09:24:25 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2023-07-07 09:24:25 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://localhost:21001[0m (Press CTRL+C to quit)
2023-07-07 09:25:13 | ERROR | stderr | [32mINFO[0m:     Shutting down
2023-07-07 09:25:13 | ERROR | stderr | [32mINFO[0m:     Waiting for application shutdown.
2023-07-07 09:25:13 | ERROR | stderr | [32mINFO[0m:     Application shutdown complete.
2023-07-07 09:25:13 | ERROR | stderr | [32mINFO[0m:     Finished server process [[36m3288[0m]
